[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/chartjs-plugin-deferred/chartjs-plugin-deferred.min.js?v=1783415778" [Client 192.168.65.1] [Length 2201] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/chartjs-adapter-moment/chartjs-adapter-moment.js?v=1783415778" [Client 192.168.65.1] [Length 1376] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/hammer/hammer.min.js?v=1783415778" [Client 192.168.65.1] [Length 45789] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/chartjs-plugin-zoom/chartjs-plugin-zoom.min.js?v=1783415778" [Client 192.168.65.1] [Length 15203] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/bstreeview/bstreeview.min.js?v=1783415778" [Client 192.168.65.1] [Length 2651] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/waitMe-js/modernized-waitme-min.js?v=1783415778" [Client 192.168.65.1] [Length 3661] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/scripts/js/logout.js?v=1783415778" [Client 192.168.65.1] [Length 633] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/scripts/js/charts.js?v=1783415778" [Client 192.168.65.1] [Length 13608] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/scripts/js/index.js?v=1783415778" [Client 192.168.65.1] [Length 29371] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/datatables-buttons/datatables.buttons.min.js?v=1783415778" [Client 192.168.65.1] [Length 20970] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/moment/moment.min.js?v=1783415778" [Client 192.168.65.1] [Length 58891] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/fonts/source-sans-pro/source-sans-pro-v13-latin-600.woff2" [Client 192.168.65.1] [Length 15948] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/api/stats/summary" [Client 192.168.65.1] [Length 882] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
